domain,n,pct_with_error,avg_errors,total_errors,avg_Incorrect,avg_NotCheckable,avg_Misleading,avg_Other,pctex_Incorrect,pctex_NotCheckable,pctex_Misleading,pctex_Other,avg_len_words
openweather,20,55.00,0.6500,13,0.6000,0.0500,0.0000,0.0000,50.00,5.00,0.00,0.00,149.10
gsmarena,20,75.00,0.9500,19,0.3000,0.3500,0.2000,0.1000,30.00,30.00,20.00,10.00,190.50
ice_hockey,20,75.00,1.5500,31,1.3500,0.1500,0.0500,0.0000,70.00,15.00,5.00,0.00,74.95
owid,20,40.00,0.7000,14,0.4500,0.2000,0.0000,0.0500,40.00,15.00,0.00,5.00,73.05
wikidata,20,15.00,0.1500,3,0.0000,0.0000,0.1000,0.0500,0.00,0.00,10.00,5.00,35.25
ALL,100,52.00,0.8000,80,0.5400,0.1500,0.0700,0.0400,38.00,13.00,7.00,4.00,104.57
